button.quit|Quit
analyzer.engineFeature.getCustomContentString.customEngineFeatureComplete|Scanning for modded engine features complete
analyzer.engineFeature.getCustomContentString.progressBar|Scanning for modded engine features
analyzer.genre.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning genres:
analyzer.genre.getCustomContentString.customEngineFeatureFound|Modded genre found:
analyzer.genre.getCustomContentString.customEngineFeatureComplete|Scanning for modded genres complete
analyzer.genre.getCustomContentString.progressBar|Scanning for modded genres
analyzer.licence.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning licences:
analyzer.licence.getCustomContentString.customEngineFeatureFound|Modded licence found:
analyzer.licence.getCustomContentString.customEngineFeatureComplete|Scanning for modded licences complete
analyzer.licence.getCustomContentString.progressBar|Scanning for modded licences
analyzer.publisher.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning publisher:
analyzer.publisher.getCustomContentString.customEngineFeatureFound|Modded publisher found:
analyzer.publisher.getCustomContentString.customEngineFeatureComplete|Scanning for modded publisher complete
analyzer.publisher.getCustomContentString.progressBar|Scanning for modded publisher
analyzer.theme.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning themes:
analyzer.theme.getCustomContentString.customEngineFeatureFound|Modded theme found:
analyzer.theme.getCustomContentString.customEngineFeatureComplete|Scanning for modded themes complete
analyzer.theme.getCustomContentString.progressBar|Scanning for modded themes
analyzer.npcGames.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning npc games:
analyzer.npcGames.getCustomContentString.customEngineFeatureFound|Modded npc game:
analyzer.npcGames.getCustomContentString.customEngineFeatureComplete|Scanning for modded npc games complete
analyzer.npcGames.getCustomContentString.progressBar|Scanning for modded npc games
analyzer.platform.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning platforms:
analyzer.platform.getCustomContentString.customEngineFeatureFound|Modded platform found:
analyzer.platform.getCustomContentString.customEngineFeatureComplete|Scanning for modded platforms complete
analyzer.platform.getCustomContentString.progressBar|Scanning for modded platforms
analyzer.npcEngine.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning npc engines:
analyzer.npcEngine.getCustomContentString.customEngineFeatureFound|Modded npc engine found:
analyzer.npcEngine.getCustomContentString.customEngineFeatureComplete|Scanning for modded npc engines complete
analyzer.npcEngine.getCustomContentString.progressBar|Scanning for modded npc engines
analyzer.antiCheat.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning anti cheats:
analyzer.antiCheat.getCustomContentString.customEngineFeatureFound|Modded anti cheat found:
analyzer.antiCheat.getCustomContentString.customEngineFeatureComplete|Scanning for modded anti cheats complete
analyzer.antiCheat.getCustomContentString.progressBar|Scanning for modded anti cheats
analyzer.copyProtect.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning copy protections:
analyzer.copyProtect.getCustomContentString.customEngineFeatureFound|Modded copy protection found:
analyzer.copyProtect.getCustomContentString.customEngineFeatureComplete|Scanning for modded copy protections complete
analyzer.copyProtect.getCustomContentString.progressBar|Scanning for modded copy protections
analyzer.hardwareFeature.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning hardware features:
analyzer.hardwareFeature.getCustomContentString.customEngineFeatureFound|Modded hardware feature found:
analyzer.hardwareFeature.getCustomContentString.customEngineFeatureComplete|Scanning for modded hardware features complete
analyzer.hardwareFeature.getCustomContentString.progressBar|Scanning for modded hardware features
analyzer.hardware.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning hardware:
analyzer.hardware.getCustomContentString.customEngineFeatureFound|Modded hardware found:
analyzer.hardware.getCustomContentString.customEngineFeatureComplete|Scanning for modded hardware complete
analyzer.hardware.getCustomContentString.progressBar|Scanning for modded hardware
analyzer.npcIp.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning npc ip:
analyzer.npcIp.getCustomContentString.customEngineFeatureFound|Modded npc ip found:
analyzer.npcIp.getCustomContentString.customEngineFeatureComplete|Scanning for modded npc ips complete
analyzer.npcIp.getCustomContentString.progressBar|Scanning for modded npc ips

modManager.gameplayFeature.windowMain.modButton.addMod|Add gameplay feature
modManager.gameplayFeature.windowMain.modButton.removeMod|Remove gameplay feature
modManager.gameplayFeature.windowMain.modButton.removeMod.toolTip|Disabled -> No gameplay feature available
modManager.engineFeature.windowMain.modButton.addMod|Add engine feature
modManager.engineFeature.windowMain.modButton.removeMod|Remove engine feature
modManager.engineFeature.windowMain.modButton.removeMod.toolTip|Disabled -> No engine feature available
modManager.genre.windowMain.modButton.addMod|Add genre
modManager.genre.windowMain.modButton.removeMod|Remove genre
modManager.genre.windowMain.modButton.removeMod.toolTip|Disabled -> No genre available
modManager.licence.windowMain.modButton.addMod|Add licence
modManager.licence.windowMain.modButton.removeMod|Remove licence
modManager.licence.windowMain.modButton.removeMod.toolTip|Disabled -> No licence available
modManager.publisher.windowMain.modButton.addMod|Add publisher
modManager.publisher.windowMain.modButton.removeMod|Remove publisher
modManager.publisher.windowMain.modButton.removeMod.toolTip|Disabled -> No publisher available
modManager.theme.windowMain.modButton.addMod|Add theme
modManager.theme.windowMain.modButton.removeMod|Remove theme
modManager.theme.windowMain.modButton.removeMod.toolTip|Disabled -> No theme available
modManager.npcGames.windowMain.modButton.addMod|Add npc game
modManager.npcGames.windowMain.modButton.removeMod|Remove npc game
modManager.npcGames.windowMain.modButton.removeMod.toolTip|Disabled -> No npc game available
modManager.platform.windowMain.modButton.addMod|Add platform
modManager.platform.windowMain.modButton.removeMod|Remove platform
modManager.platform.windowMain.modButton.removeMod.toolTip|Disabled -> No platform available
modManager.npcEngine.windowMain.modButton.addMod|Add npc engine
modManager.npcEngine.windowMain.modButton.removeMod|Remove npc engine
modManager.npcEngine.windowMain.modButton.removeMod.toolTip|Disabled -> No npc engine available
modManager.antiCheat.windowMain.modButton.addMod|Add anti cheat
modManager.antiCheat.windowMain.modButton.removeMod|Remove anti cheat
modManager.antiCheat.windowMain.modButton.removeMod.toolTip|Disabled -> No anti cheat available
modManager.copyProtect.windowMain.modButton.addMod|Add copy protection
modManager.copyProtect.windowMain.modButton.removeMod|Remove copy protection
modManager.copyProtect.windowMain.modButton.removeMod.toolTip|Disabled -> No copy protection available
modManager.hardwareFeature.windowMain.modButton.addMod|Add hardware feature
modManager.hardwareFeature.windowMain.modButton.removeMod|Remove hardware feature
modManager.hardwareFeature.windowMain.modButton.removeMod.toolTip|Disabled -> No hardware feature available
modManager.hardware.windowMain.modButton.addMod|Add hardware
modManager.hardware.windowMain.modButton.removeMod|Remove hardware
modManager.hardware.windowMain.modButton.removeMod.toolTip|Disabled -> No hardware available
modManager.npcIp.windowMain.modButton.addMod|Add npc ip
modManager.npcIp.windowMain.modButton.removeMod|Remove npc ip
modManager.npcIp.windowMain.modButton.removeMod.toolTip|Disabled -> No npc ip available
modManager.general.enterNameFirst|Please enter a name first!
modManager.general.enterNameDescriptionFirst|Please enter a name and description first!

mod.publisher.addMod.optionPaneMessage.firstPart|Add this publisher?
mod.publisher.addMod.optionPaneMessage.developer|Developer
mod.publisher.addMod.optionPaneMessage.developer.toolTip|When enabled: The company can release their own games
mod.publisher.addMod.optionPaneMessage.publisher|Publisher
mod.publisher.addMod.optionPaneMessage.publisher.toolTip|When enabled: The company can release games for you (=publish them)
mod.publisher.addMod.optionPaneMessage.spinner.marketShare.toolTip|This is how much market share your publisher has
mod.publisher.addMod.optionPaneMessage.spinner.share.toolTip|Set how much money should be earned by one sell
mod.publisher.addMod.optionPaneMessage.button.fanBase.toolTip|Click to select what genre the fan base of your publisher likes the most
mod.publisher.addMod.optionPaneMessage.button.fanBase.select|Select what main genre your publisher should have:
mod.publisher.addMod.optionPaneMessage.button.fanBase.select.genreFailure|Please select a genre first.
mod.publisher.addMod.checkBox.notForSale|Not for sale
mod.publisher.addMod.checkBox.notForSale.toolTip|Activate to mark the publisher as not for sale
mod.publisher.addMod.checkBox.onlyMobile|Only mobile
mod.publisher.addMod.checkBox.onlyMobile.toolTip|Enable to let the publisher/developer only develop games for mobile devices
mod.publisher.addMod.spinner.speed|Speed
mod.publisher.addMod.spinner.speed.toolTip|The speed with wich the developer develops games
mod.publisher.addMod.spinner.comVal|Base value of the computer opponent
mod.publisher.addMod.spinner.comVal.toolTip|Set what the company's core value is.<br>This is the minimum price that must be paid to take over this company.<br>The value will increase as the game progresses.
mod.publisher.icon|Publisher Icon
mod.licence.addMod.optionPaneMessage.book|Book
mod.licence.addMod.optionPaneMessage.movie|Movie
mod.licence.addMod.optionPaneMessage.sport|Sport
mod.licence.addMod.confirm|Add this licence
mod.engineFeature.addMod.title|Add engine feature?
mod.engineFeature.addMod.components.type.toolTip|Select what type your engine feature should be
mod.gameplayFeature.addMod.title|Add gameplay feature?
mod.gameplayFeature.addMod.optionPaneMessage.firstPart|Your gameplay feature is ready:
mod.gameplayFeature.addMod.optionPaneMessage.none|None
mod.gameplayFeature.addMod.components.type.toolTip|Select what type your gameplay feature should be
mod.gameplayFeature.addMod.components.button.genres.title|Choose genre(s)
mod.gameplayFeature.addMod.components.button.selectBadGenres|Select genres that fit badly
mod.gameplayFeature.addMod.components.button.selectBadGenres.selected|Bad fitting genres selected!
mod.gameplayFeature.addMod.components.button.selectBadGenres.unableToSave|<html>Unable to save bad genres:<br><br>Good genres list already contains (some) selected entries.
mod.gameplayFeature.addMod.components.button.selectBadGenres.toolTip|Click to select what genres don't work good with your gameplay feature
mod.gameplayFeature.addMod.components.button.selectGoodGenres|Select genres that fit good
mod.gameplayFeature.addMod.components.button.selectGoodGenres.selected|Good fitting genres selected!
mod.gameplayFeature.addMod.components.button.selectGoodGenres.unableToSave|<html>Unable to save good genres:<br><br>Bad genres list already contains (some) selected entries.
mod.gameplayFeature.addMod.components.button.selectGoodGenres.toolTip|Click to select what genres work good with your gameplay feature
mod.gameplayFeature.addMod.components.arcadeCabinetCompatibility.toolTip|<html>Select to enable compatibility with arcade cabinets for this gameplay feature.<br>If disabled this gameplay feature does not work on arcade cabinets.
mod.gameplayFeature.addMod.components.mobileCompatibility.toolTip|<html>Select to enable compatibility with mobile devices for this gameplay feature.<br>If disabled this gameplay feature does not work on mobile devices.
mod.theme.addTheme.unableToAddTheme|Unable to add theme:
mod.theme.addTheme.unableToAddTheme.error1|Please select at least one genre.
mod.theme.addTheme.unableToAddTheme.error2|Please enter a name for your theme.
mod.theme.addTheme.unableToAddTheme.error3|The selected name is already in use.
mod.theme.addTheme.addTheme.question|Do you want to add this theme?
mod.theme.addTheme.addTheme.title|Add this theme?
mod.theme.addTheme.main.title|Add new theme
mod.theme.addTheme.components.label.themeName|Enter the theme name:
mod.theme.addTheme.components.button.addTranslations.toolTip|Click to add translations for your theme
mod.theme.addTheme.components.label.violenceLevel|Choose the age rating:
mod.theme.addTheme.components.comboBox.violenceLevel|<html>This indicates the minimum age rating a game with this theme gets
mod.theme.addTheme.components.label.explainList|<html>Chose what genres should work good together<br>with your theme.<br>(Tip: Hold CTRL and click with your mouse)
mod.npcGame.addMod.optionPaneMessage.firstPart|Add this npc game?
mod.npcGames.addMod.selectGenres|Select the genres that should be compatible with the new npc game:
mod.npcGames.addMod.components.labelName|Enter the name for the npc game:
mod.platform.addPlatform.optionPaneMessage.firstPart|Add this platform?
mod.platform.addPlatform.components.textFieldName.initialValue|ENTER PLATFORM NAME
mod.platform.addPlatform.components.textFieldManufacturer.initialValue|ENTER MANUFACTURER NAME
mod.platform.addPlatform.components.button.addManufacturerTranslations.label|Add manufacturer translations
mod.platform.addPlatform.components.comboBox.type.toolTip|Select what type your engine feature should be
mod.platform.addPlatform.components.comboBox.type.computer|Computer
mod.platform.addPlatform.components.comboBox.type.console|Console
mod.platform.addPlatform.components.comboBox.type.handheld|Handheld
mod.platform.addPlatform.components.comboBox.type.cellPhone|Cell Phone
mod.platform.addPlatform.components.comboBox.type.arcadeSystemBoard|Arcade System Board
mod.platform.addPlatform.components.comboBox.country.toolTip|The country from which the manufacturer comes
mod.platform.addPlatform.components.checkBox.enableEndDate|<html>Activate so that the platform<br>is taken off the market<br>when the date below has passed.
mod.platform.addPlatform.components.spinner.endYear.toolTip|This is the year in which the platform will be taken off the market, provided the check box above is activated
mod.platform.addPlatform.components.label.endDate|End date
mod.platform.addPlatform.components.spinner.techLevel.tooltip|<br>The tech level of the platform.<br>Indicates how advanced the platforms technology level is.
mod.platform.addPlatform.components.spinner.researchCost.toolTip|This is the price to be paid for the dev kit.
mod.platform.addPlatform.components.spinner.devCost.toolTip|<br>Set the development cost for a game with this platform.<br>This cost will be added when developing a game with this platform.
mod.platform.addPlatform.components.spinner.price.toolTip|This is the price that is payed for the devkit.
mod.platform.addPlatform.components.checkBox.internet.toolTip|Check this option to indicate that this console can use the internet
mod.platform.addPlatform.components.checkBox.startplatform|Startplatform
mod.platform.addPlatform.components.checkBox.startplatform.toolTip|Check this option to indicate that the player should own a devkit for this platform at the beginning of the game
mod.platform.addPlatform.components.spinner.complexity.toolTip|Indicates how much work it is to develop for this platform
mod.platform.addPlatform.components.spinner.units.toolTip|Indicates how many platforms of this type have been manufactured
mod.platform.addPlatform.components.button.addPicture|Add platform picture(s)
mod.platform.addPlatform.components.button.addPicture.maxPicturesSelectedMessage|Unfortunately, it is not possible to add more pictures,<br>because the game does not currently support it.
mod.platform.addPlatform.components.button.addPicture.noPictureSelected|Please select a picture first!
mod.platform.addPlatform.components.button.addPicture.picturesSet|Platform pictures have been set successfully!
mod.platform.addPlatform.components.button.addPicture.picturesSelected|Platform pictures selected
mod.platform.addPlatform.components.button.addPicture.toolTip|Click to select one or more images to use as platform images
mod.platform.addPlatform.components.button.addPicture.actionListener.button.addPicture|Add picture
mod.platform.addPlatform.components.button.addPicture.actionListener.label.textAreaExplanation|<html>The entries in this list will be added as platform pictures.<br>To add a picture click the button below.<br>When you are finished click ok to set these pictures as platform pictures.
mod.platform.addPlatform.components.button.addPicture.actionListener.button.addPicture.actionListener.spinnerChangeYear.toolTip|This is the year in which the image becomes active
mod.platform.addPlatform.components.button.addPicture.actionListener.pictureAlreadyAdded|<html>Platform pictures have already been added.<br>Would you like to reset them and add new pictures?<br><br>Warning: This can not be undone!
mod.platform.addPlatform.components.button.addPicture.actionListener.pictureAlreadyAdded.title|Pictures already added
mod.platform.addPlatform.title|Add platform
mod.platform.addPlatform.manufacturer.enterNameFirst|Please enter a name for the manufacturer first!
mod.platform.addPlatform.components.selectGameplayFeatures|Select gameplay features that have to be<br>required in order to create a game for this platform:
mod.platform.removeImageFiles.failed|Failed to remove platform image file
mod.npcEngine.addMod.optionPaneMessage.firstPart|Add this npc engine?
mod.npcEngine.addMod.components.textFieldName.initialValue|ENTER NPC ENGINE NAME
mod.npcEngine.addMod.components.unlockYear.additionalToolTip|This determines the technology level and the amout of engine features the engine has.
mod.npcEngine.addMod.components.selectGenre|Select the genre which should be the special genre for the engine:<br>If several genres are selected, several engines will be created, one for each selected genre.<br>The name of the genre will then be written after the name of the engine.
mod.npcEngine.addMod.components.selectPlatform|Select the platform which should be the special platform for the engine:
mod.npcEngine.addMod.components.spinner.share.toolTip|Set the profit share for the engine.<br>When a game is created with this engine the amount (in %) will be paid to the engine developer.
mod.npcEngine.addMod.components.spinner.cost.toolTip|Set the cost for the engine.<br>In order to use the engine in game you will have to pay this price to unlock it.
mod.npcEngine.addMod.optionPaneMessage.multipleGenres|<html>Several genres have been selected.<br>A separate engine is created for each genre.<br><br>The following values are used for the engine:
mod.npcEngine.addMod.optionPaneMessage.multipleGenres.finished|engines have been added successfully!
mod.npcEngine.addMod.noPlatformSelected|Please select a platform first!
mod.antiCheat.addMod.optionPaneMessage.firstPart|Add this anti cheat?
mod.antiCheat.addMod.components.textFieldName.initialValue|ENTER ANTI CHEAT NAME
mod.copyProtect.addMod.components.textFieldName.initialValue|ENTER COPY PROTECTION NAME
mod.copyProtect.addMod.components.spinner.cost.toolTip|<br>Set the cost for the copy protection.<br>In order to use the copy protection in game you will have to pay this price to unlock it.
mod.genre.clearTranslations|Clear Translations
mod.genre.clearTranslations.question|<html>Are you sure that you want<br>to reset the translations?
mod.genre.clearTranslations.button|Click to remove all Translations
mod.genre.clearTranslations.success|Translations have been cleared.
mod.genre.description.hint|Hint: use <br> in your description to make a new line.
mod.genre.tipPart1|Tip: Hold CTRL and
mod.genre.tipPart2|click with your mouse
mod.genre.page.title.1|[Page 1] Name and Description
mod.genre.page.title.2|[Page 2] Unlock date
mod.genre.page.title.3|[Page 3] Research/Price
mod.genre.page.title.4|[Page 4] Target Group
mod.genre.page.title.5|[Page 5] Genre combo
mod.genre.page.title.6|[Page 6] Theme Combo
mod.genre.page.title.7|[Page 7] Gameplay Features
mod.genre.page.title.8|[Page 8] Design
mod.genre.page.title.9|[Page 9] Work Priority
mod.genre.page.title.10|[Page 10] Screenshots
mod.genre.page.title.11|[Page 11] Image
mod.genre.genreComb.noSelectionMessage|Are you sure that you don't want to add a compatible genre?
mod.genre.genreComb.noSelectionMessage.title|Don't add compatible genre?
mod.genre.themeComb.noSelectionMessage|Are you sure that you don't want to add a compatible theme?
mod.genre.themeComb.noSelectionMessage.title|Don't add compatible theme?
mod.genre.button.next.toolTip|Click to continue to the next step.
mod.genre.button.previous.toolTip|Click to return to the previous page.
mod.genre.button.quit.toolTip|Click to quit this step by step guide
mod.genre.quit.confirmMessage|<html>Are you sure?<br>Your progress will be lost.
mod.genre.quit.confirmMessage.title|Cancel add new genre
mod.genre.selectAtLeastOneTargetGroup|Please select at least one target group!
mod.genre.selectGenreComb|Select what genres work good together with your genre.
mod.genre.topicComb|Select what topics work good together with your genre.
mod.genre.gameplayFeatures|Select what gameplay features work good/bad together with your genre.
mod.genre.screenshots.title|Add screenshot(s):
mod.genre.screenshots.button.toolTip|<html>Click here to add image files that should be<br>used as your genre screenshots in the development progress page.
mod.genre.screenshots.text.1|Note: You can skip this step if you
mod.genre.screenshots.text.2|don't want to add you own screenshots image.
mod.genre.screenshots.button.resetScreenshots|Click to reset all added screenshots
mod.genre.screenshots.button.resetScreenshots.confirm|<html>Are you sure that you want to reset<br> the added screenshots?
mod.genre.picture.selectImage|Select genre image:
mod.genre.picture.imagePath|Path to image file
