Haustiere <0><1><5><6><10><15><16>
Raumstationen <3><4><5><6><7><8><11><13><14><16>
Kasinos <0><1><7><9><11><M2>
Inseln <2><3><6><9><11><18>
Katzen <0><6><15>
Hunde <0><6><15>
Schafe <0><6><15>
Ziegen <0><6><15>
Hasen <0><6><15>
Bunker <4><5><13><14><16><18><M3>
Teufel <2><3><5><6><14><16><M1>
Radioaktivität <2><3><4><5><11><13><14><16><18><M2>
Politik <4><7><9><15><M1>
Barbaren <3><4><5><6><10><11><14><16>
Urlaub <4><7><8><9><11>
Eichhörnchen <5><6>
Reporter <2><6><12><15>
Eiszeit <2><5><6><9><11><13><14><16><18>
Revolutionen <4><5><6><12><14><16>
Hölle <2><3><5><6><9><11><14><16>
Engel <2><3><5><6><12><14><15><16>
Süßigkeiten <0><1><6><9>
Kopfgeldjäger <5><12><14><16><M3>
Schatzsucher <2><3><5><6><14><16>
Insekten <0><5><6><7><11><13><14><16>
Raubtiere <5><6><7><10><14><16><18>
Frösche <0><6>
U-Boote <4><5><7><13><14><16>
Karate <5><6><8><10><14><16><M2>
Hexen <2><3><5><6><12><14><16>
Kriminalität <2><4><5><9><11><12><14><16><M3>
Extremsport <6><7><8><17>
Paintball <5><6><7><8><M2>
Planeten <0><1><2><3><4><5><7><9><11><13>
Evolution <0><1><4><6><7><11>
Komödie <2><5><6><12><15>
Survival <5><6><7><11><14><16><18>
Doktoren <7><9><11><15>
Fitness <0><1><6><8><9><10><11>
Monster <2><3><5><6><10><11><14><16><18><M1>
Historisch <2><4><5><7><8><9><13><14><16><17>
Tiere <0><1><5><6><7><8><9><10><11><13><18>
Unternehmen <4><7><8><9><11><13>
Wrestling <5><7><8><9><10><M2>
Tintenfische <0><1><6>
Bildung <0><1><4><9><11>
Anime <2><3><5><6><12><15>
Krokodile <5><6>
Kino <4><9><11>
Fernsehen <1><4><9><11>
Quizshow <0><1>
Religion <2>
Tennis <0><8><9>
Basketball <0><8><9>
Rockstars <0><1><9>
Taxis <7><9><17>
Pilze <0><6>
Baseball <0><8><9>
American Football <8><9>
Eishockey <8><9>
Cricket <8><9>
Rugby <8><9>
Golf <8><9>
Vögel <0><6><15>
Zoo <0><1><4><7><9><11><15>
Wilder Westen <2><4><5><6><9><11><12><13><14><15><16>
Angeln <0><7><8><18>
Apokalypse <2><3><4><5><11><12><13><14><16><18><M3>
Gesellschaftsspiele <0><1><4><11>
Schwimmen <0><7><8>
Zivilisationen <4><9><11><13>
Fabriken <0><4><9><11><13>
Saboteure <2><4><5><6><12><13><14><16><M2>
Renovieren <0><4><7><9><11>
Adelshäuser <2><3><4><9><11><12><13><15>
Bergbau <0><1><4><7><9><11><13>
Gesundheitswesen <0><4><7><9><11>
Archäologie <0><1><2>
Hühner <0><6><15>
Expeditionen <0><1><2><4><11><18>
Pinball <0><6><7>
Androiden <2><3><4><5><6><10><12><13><14><15><16>
Superschurken <2><5><6><9><12><14><15><16>
Reiten <0><6><9><14><16><17>
Spielkarten <0><1><4>
Fallschirmspringen <0><5><6><7><8><14><16><17>
Klettern <0><5><6><7><8><14><16>
Jetski <0><7><8><17>
Skateboards <0><6><7><8><17>
Handball <0><8><9>
Tischtennis <0><8><9>
Segeln <0><4><7><8><13><16><17>
Skifahren <0><6><7><8><17>
Deck-Building <0><1><2><3><4><13>
Volleyball <0><8><9>
Dart <0><8>
Billard <0><8>
Leichtathletik <0><8><9>
Bergsteigen <0><5><6><7><8><14><15>
Bowling <0><8>
Fechten <0><2><3><5><6><8><10><13><14><16>
Squash <0><8><9>
Wandern <1><2><6><7><8><16><18>
Bogenschießen <0><5><6><7><8><14><16><18>
Kickboxen <5><6><8><9><10>
Kung Fu <5><6><8><9><10>
Parkour <0><5><6><8><14><16>
Romanzen <2><12><15>
Mutanten <3><4><5><6><10><13><14><16><18>
Natur <0><1><4><7><9><11><18>
Ozeane <0><4><5><8><11><13><14><16><18>
Meerjungfrauen <2><6><12><15>
Musikinstrument <0>
Würfelspiele <0><1><4>
Handwerken <0><1><4><7><9><11><18>
Showgeschäft <9><11><15>
Magie <0><1><2><3><4><5><6><11><13><14><15><16>
Geheimbund <2><3><14><15><16>
Lernen <0><1><9><11>
Sprachen <0><1>
Igel <0><6>
Gladiatoren <4><5><6><8><9><10><14><15>
Pharaonen <0><1><2><4><6><9><11><13><14><16>
Zeppeline <4><5><7><9><13>
Antike <0><1><2><3><4><5><6><8><9><11><13><14><16>
Maschinen <0><9>
Rohstoffe <4><9><11><13><18>
Kartrennen <7><8><9><17>
Rallycross <7><8><9><17>
Stock Car <7><8><9><17>
Schach <0><4>
Asteroiden <0><5><7>
Spinnen <0><3><5><6><14><16>
Zirkus <0><1><2><9><11>
Partys <0><9><15>
Putzen <0><7>
Diplomatie <4><9><11><13>
Astronauten <2><5><7><18>
Rohre <0><1><6>
Surfen <0><7><8><17>
Flüche <2><3><12><15>
Drohnen <5><7><13><17>
Kanalisation <2><5><6><7><14><16>
Wüste <2><4><5><7><8><11><13><14><16><17><18>
Dschungel <2><4><5><6><11><13><14><16><18>
Labyrinth <0><1><2><3>
Goblins <0><1><2><3><4><5><6><10><11><13><14><16>
Restaurants <7><9><11>
Weinanbau <7><9><11>
Azteken <2><5><6><11><13><14><16>
Inka <2><5><6><11><13><14><16>
Hotels <7><9><11>
Börsen <9>
Altes Ägypten <0><2><4><5><6><11><13><14><16>
Römisches Reich <2><4><5><6><9><10><11><13><14><16><17>
Atlantis <5><6><11><13><16>
Recycling <0><1><7><9><11>
Friedhof <2><3><5><6><7><11><14><16>
Tourismus <9><11>
Genetik <0><1>
Snowboarding <1><7><8>
Fotografieren <1><2><7><12><15>
Bücher <1><15>
Schminken <0><9><15>
Mumien <0><1><2><5><6><14><16>
Yakuza <5><9><10><14><16>
Ameisen <0><5><6><11><13>
Stofftiere <0><6><15>
Griechische Mythologie <0><1><2><3><4><5><6><11><13><14><16>
Chinesisches Altertum <1><3><4><5><6><10><11><13><16>
Puppen <6>
Barden <2><3><5><6><16>
Delfine <0><5><7>
Dörfer <1><4><9><11><13>
Dieselpunk <0><1><2><4><5><13><16>
Viktorianisches Zeitalter <1><2><4><9><13>
Terraforming <1><4><7><11><13><18>
Gerichtsverhandlungen <2><12><15>
Universität <2><9><11><12><15>
Curling <0><8><9>
